sample_id,dataset_name,pred,gold,question
commonsenseqa_validation_0,commonsense_qa,E. hall,D. living room,Where would you keep a rug near your front door?
commonsenseqa_validation_5,commonsense_qa,C. kitchen cupboard.,B. table setting,Where is a salt shaker most often kept?
commonsenseqa_validation_6,commonsense_qa,E. actors and actresses,A. theater,"Everybody was changing into costumes in the dressing room, it was almost time to take the what stage?"
commonsenseqa_validation_11,commonsense_qa,A. ocean,C. water,Where is seaweed usually found alive?
commonsenseqa_validation_20,commonsense_qa,D. walk,A. listen to radio,What would I be doing while going to work and walking?
commonsenseqa_validation_23,commonsense_qa,E. headache,C. happiness,"If a person is using a computer to talk to their granddaughter, what might the computer cause for them?"
commonsenseqa_validation_27,commonsense_qa,E. expand,C. augment,"The surgeon's clients had begun to reduce, it seemed girls no longer want to what?"
commonsenseqa_validation_29,commonsense_qa,D. prehistoric times,E. ancient times,When did mammoth's live?
commonsenseqa_validation_34,commonsense_qa,E. direct sunlight,A. full sunlight,There was no shade for Jenny.  She was forced to lie there exposed to what?
commonsenseqa_validation_43,commonsense_qa,C. winch.,D. construction site,A crane uses many a steel cable when working a what?
commonsenseqa_validation_45,commonsense_qa,B. better themselves,A. face problems,What do people need to do to change their lives?
commonsenseqa_validation_60,commonsense_qa,B. internet,D. library,Where is known to be a wealth of information?
commonsenseqa_validation_79,commonsense_qa,A. England.,B. new hampshire,John was an aristocratic fox hunter.  Where might he live?
commonsenseqa_validation_81,commonsense_qa,E. arousal,C. shortness of breath,What happens if someone kisses too long?
commonsenseqa_validation_86,commonsense_qa,A. gap,B. shopping mall,Where can you buy jeans at one of may indoor merchants?
commonsenseqa_validation_88,commonsense_qa,D. shower stall,A. bathtub,Where would you find a single shower curtain being used?
commonsenseqa_validation_93,commonsense_qa,E. opera,A. confession,What could people do that involves talking?
arc_validation_2,ai2_arc,C. tornados.,A. earthquakes,Which of these natural disasters are the most unpredictable?
arc_validation_3,ai2_arc,C. clear and colder,D. cloudy and rainy,Clay is watching the weather to prepare for a trip to the beach tomorrow. The forecast predicts that a low-pressure system will move in overnight. Which type of weather can Clay most likely expect in the morning?
arc_validation_6,ai2_arc,D. an organ,A. a cell,Tracey was learning about structural organization in animals. What level of structural organization best describes an egg?
