sample_id,dataset_name,pred,gold,question
commonsenseqa_validation_0,commonsense_qa,E. hall,D. living room,Where would you keep a rug near your front door?
commonsenseqa_validation_4,commonsense_qa,E. porch.,B. front door,"The town house went right to the curb, a slot effectively made a mailbox of the what?"
commonsenseqa_validation_5,commonsense_qa,C. kitchen cupboard,B. table setting,Where is a salt shaker most often kept?
commonsenseqa_validation_11,commonsense_qa,A. ocean,C. water,Where is seaweed usually found alive?
commonsenseqa_validation_20,commonsense_qa,D. walk,A. listen to radio,What would I be doing while going to work and walking?
commonsenseqa_validation_27,commonsense_qa,E. expand,C. augment,"The surgeon's clients had begun to reduce, it seemed girls no longer want to what?"
commonsenseqa_validation_29,commonsense_qa,D. prehistoric times,E. ancient times,When did mammoth's live?
commonsenseqa_validation_34,commonsense_qa,E. direct sunlight,A. full sunlight,There was no shade for Jenny.  She was forced to lie there exposed to what?
commonsenseqa_validation_39,commonsense_qa,E. pride,D. confident,He was beginning to regret taking the fight when he saw how what his opponent was?
commonsenseqa_validation_42,commonsense_qa,D. teardrops.,B. snowflake,The water in clouds turn in to what when it gets cold?
commonsenseqa_validation_45,commonsense_qa,B. better themselves,A. face problems,What do people need to do to change their lives?
commonsenseqa_validation_62,commonsense_qa,E. murdered by a landshark,B. see beautiful views,"Nature can be good and bad for the person who walks, what are some things?"
commonsenseqa_validation_77,commonsense_qa,E. follow instructions,B. advance knowledge,"Computers have allowed everybody to answer questions they have quickly, but still we seem to be getting duller despite access to this what?"
commonsenseqa_validation_79,commonsense_qa,A. England,B. new hampshire,John was an aristocratic fox hunter.  Where might he live?
commonsenseqa_validation_81,commonsense_qa,E. arousal,C. shortness of breath,What happens if someone kisses too long?
commonsenseqa_validation_86,commonsense_qa,A. gap,B. shopping mall,Where can you buy jeans at one of may indoor merchants?
commonsenseqa_validation_88,commonsense_qa,D. shower stall,A. bathtub,Where would you find a single shower curtain being used?
commonsenseqa_validation_92,commonsense_qa,B. lamb,C. done,When cooking sheep meat a lot of people might want to be well?
commonsenseqa_validation_93,commonsense_qa,E. opera,A. confession,What could people do that involves talking?
arc_validation_6,ai2_arc,D. an organ.,A. a cell,Tracey was learning about structural organization in animals. What level of structural organization best describes an egg?
